iter	Passed	Remaining
0	7	1428
1	12	1225
2	17	1129
3	21	1074
4	26	1041
5	31	1017
6	36	1002
7	41	992
8	46	981
9	51	974
10	56	963
11	61	960
12	67	974
13	72	967
14	77	959
15	82	951
16	87	942
17	92	933
18	97	925
19	101	917
20	106	910
21	111	903
22	116	895
23	121	888
24	125	881
25	130	875
26	135	868
27	140	861
28	145	855
29	149	849
30	154	843
31	159	836
32	164	831
33	168	824
34	173	818
35	178	812
36	183	806
37	187	801
38	192	795
39	197	790
40	202	784
41	207	779
42	211	773
43	216	768
44	221	763
45	226	757
46	230	751
47	235	745
48	240	740
49	244	734
50	249	729
51	254	724
52	259	719
53	264	714
54	269	710
55	274	704
56	278	699
57	283	694
58	288	689
59	293	684
60	297	678
61	302	672
62	307	667
63	312	663
64	316	657
65	321	652
66	326	647
67	330	642
68	335	637
69	340	631
70	344	626
71	349	621
72	354	616
73	359	611
74	364	607
75	368	601
76	373	597
77	378	592
78	383	587
79	388	582
80	392	577
81	397	572
82	402	567
83	407	562
84	412	557
85	416	552
86	421	547
87	426	542
88	431	537
89	435	532
90	440	527
91	445	522
92	450	517
93	454	512
94	459	507
95	463	502
96	468	497
97	473	492
98	478	487
99	482	482
100	487	477
101	492	472
102	496	467
103	501	462
104	506	458
105	511	453
106	515	448
107	520	443
108	525	438
109	529	433
110	534	428
111	539	423
112	543	418
113	548	413
114	553	408
115	557	404
116	562	399
117	567	394
118	572	389
119	576	384
120	581	379
121	585	374
122	590	369
123	595	364
124	600	360
125	604	355
126	609	350
127	614	345
128	618	340
129	623	335
130	628	330
131	632	325
132	637	321
133	642	316
134	646	311
135	651	306
136	656	301
137	660	296
138	665	292
139	669	287
140	674	282
141	679	277
142	683	272
143	688	267
144	693	262
145	698	258
146	702	253
147	707	248
148	712	243
149	717	239
150	721	234
151	726	229
152	731	224
153	735	219
154	740	215
155	745	210
156	750	205
157	754	200
158	759	195
159	763	190
160	768	186
161	773	181
162	777	176
163	782	171
164	787	167
165	792	162
166	796	157
167	801	152
168	806	147
169	810	143
170	815	138
171	819	133
172	824	128
173	829	123
174	833	119
175	838	114
176	843	109
177	847	104
178	852	100
179	857	95
180	862	90
181	866	85
182	871	80
183	876	76
184	880	71
185	885	66
186	889	61
187	894	57
188	899	52
189	903	47
190	908	42
191	913	38
192	918	33
193	922	28
194	927	23
195	932	19
196	937	14
197	941	9
198	946	4
199	950	0
